str_no_string|,
str_strategy_criticism_cautious|Bana göre bu strateji fazla tedbirli ve adamlarımız hiçbir başarı elde edemeden sıknıtıdan patlayacaklar.
str_tavernkeeper_invalid_quest| bir tür işle uğraşıyormuş, ama detayları hatırlamakta zorlanıyorum.
str_faction_title_male_player|Lord {s0}
str_faction_title_male_1|Kont {s0}
str_faction_title_male_2|Boyar {s0}
str_faction_title_male_3|{s0} Noyan
str_faction_title_male_4|Yarl {s0}
str_faction_title_male_5|Kont {s0}
str_faction_title_male_6|Emir {s0}
str_faction_title_female_player|Leydi {s0}
str_faction_title_female_1|Kontes {s0}
str_faction_title_female_2|Boyarina {s0}
str_faction_title_female_3|{s0} Hatun
str_faction_title_female_4|Leydi {s0}
str_faction_title_female_5|Kontes {s0}
str_faction_title_female_6|Sayeda {s0}
str_name_kingdom_text|Krallığımızın ismi ne olacak?
str_default_kingdom_name|{s0} Krallığı
str_lord_defects_ordinary|araf Değiştiriyor^^{s1}, {s3} ile olan ittifakından feragat ediyor ve {s2} tarafına katılıyor
str_lord_defects_player|Lord Taraf Değiştiriyor^^{s1}, {s3} ile olan ittifakından feragat etti ve senin krallığın katılmayı düşünüyor. Malikanene girip yemini kabul edebilirsin, tabii istersen.
str_lord_defects_player_faction|Lord Taraf Değiştiriyor^^{s1}, {s3} ile olan ittifakından feragat etti ve senin krallığın katılmayı düşünüyor. Malikanene girip yemini kabul edebilirsin, tabii istersen.
str_lord_indicted_player_faction|{s6} tarafından verilen emirle, {s4} vatan haini ilan edildi. Lord onun tüm mallarına el koydu ve canı pahasına kaçması için salıverildi ve senin krallığına katılmak istiyor. Şayet görmek isterseniz, sadakatini sunmak için sizi malikanenizde bekliyor.
str_lord_indicted_dialog_approach|Selamlar, {lordum/leydim}. {s10} tarafından ne kadar kötü muamele görmeye maruz bırakıldığımı duymuşsunuzdur. Derebeylerinize adil davraşınızla nam salmış birisi olarak, beni yanınıza kabul ederseniz, kendimi sizin derebeyiniz olmaya adamaktan onur duyarım.
str_lord_indicted_dialog_approach_yes|Ve ben de yeminini kabul etmekten onur duyarım.
str_lord_indicted_dialog_approach_no|Üzgünüm. Senin hizmetine ihtiyacım yok.
str_lord_indicted_dialog_rejected|Gerçekten mi? Peki, belki de namınız yanıltıcıdır. Size iyi günler, {lordum/leydim} – Gidip, Kalradya'da yeteneklerime sizin olduğunuzdan daha minnettar olacak bir hükümdar arayım.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home| bu bölgede bazı haydutların saklanacak bi yer inşa ediyor olmalarından endişeleniliyor.
str_bandit_lair_quest_description|{s9}, {s11} için sıkıntı oluşturuyor. Onu bul ve ortadan kaldır.
str_bandit_hideout_preattack|Saklandıkları yere ulaştın. {s4} henüz seni farketmişe benzemiyor ve hala da farkedilmeden geri dönebilirsin. Oraya ulaşma zorluğu -- {s5} – saldırabilecek yalnızca bir avuç askerin olduğu ve saldırmaları durumunda atlarını geri getiremeyecekleri anlamına geliyor. İlk saldırın başarısız olursa, {s4}, kolayca kaçışlarını gerçekleştirmiş ve dağılmış olacaklar. Sığınağa saldırmak mı istiyorsun, yoksa başka bir fırsat için mi bekleyeceksin?
str_bandit_hideout_failure|{s4} saldırını geri püskürttü. Toparlanıyorsunuz ve onlara bir kez daha çevredeki kırsal bölgelere yayılıp, zülmetmeleri için fırsat vermiş oluyorsunuz, şüphesiz burada seyyahlar için tehdit oluşturmaya devam edecekler.
str_bandit_hideout_success|Kararlı saldırın sayesinde kaçışlarının engellenmesiyle,{s4} birer birer düştüler. Saklandıkları yer ve hasta ruhlu amaçları yok oldu.
str_bandit_approach_defile|dar bir geçitten aşağı
str_bandit_approach_swamp|çam bataklığının içinden
str_bandit_approach_thickets|yoğun çalılık dizilerinin içinden
str_bandit_approach_cliffs|uçurumun kenarındaki patikadan yukarı
str_bandit_approach_cove|uçurumun kenarındaki dere yatağından aşağı
str_political_explanation_lord_lacks_center|Bu durumda toprak, hiç bir mülkü ve geliri olamayan bir lorda gitmeli.
str_political_explanation_lord_took_center|Bu durumda kale, onu ele geçirene gitmeli.
str_political_explanation_most_deserving_friend|Bu durumda, yakın dostlarıma ve yoldaşlarıma baktım, ve toprağı onu en fazla hakedene vermeye karar verdim.
str_political_explanation_most_deserving_in_faction|Bu durumda krallığın tüm lordlarına baktım ve toprağı onu en çok hak edene vermeye karar verdim. 
str_political_explanation_self|Başka düzgün aday olmadığından, kendimi aday gösteriyorum.
str_political_explanation_marshal|Soylularımız arasından en cesur, benim en çok güvendiğim ve hiçbir şeklide adına leke sürülmemiş olanını seçiyorum.
str_prisoner_at_large|geniş, esir alanlar savaşta öldüğüne göre, arkadaşın birazdan ortaya çıkar sanırım.
str_quick_battle_scene_1|Çiftlik Evi
str_quick_battle_scene_2|Vaha
str_quick_battle_scene_3|Tulbuk Geçidi
str_quick_battle_scene_4|Haima Kalesi
str_quick_battle_scene_5|Ulbas Kalesi
str_quick_battle_troop_1|Güneş battığında kimsenin şehirlere yanlarında silahlı adamlar olmadan gitmemelerinin bir sebebi var, ve bu sebep de Rodrigo de Braganca. Parlak zekalı bir tüccar Tihr'e ufak bir yakut servetiyle gidip tam köede bir kadife dükkanı açmayı hayal ederken, türlü dolaplar çeviren Rodok tüccarları loncasına karşı amansız mücadelelere girip fakirliğe boğuldu. Fakat daha sonra terazinin işlerini kılıca bıraktı ve hatırı sayılır ticari zekasını Veluca'daki en büyük suç 'şirketine' dönüştürdü. Hayal ettiği amacına ulaştı, bir zamanlar kafasına koyduğu zenginliğin de üstünde bir zenginliğe. Şimdiyse eski rakiplerinin dünyevi mallarını - ve tasalarını büyük bir memnuniyetle azaltıyor.
str_quick_battle_troop_2|Usiatra, Kalradya dışındaki güney çöllerinde yer alan Siri adında kırsal bir köyü elinde tutan haydut grubunun liderliğini on yedi yaşındayken kanlı usüllerle ele geçirdi. Onun liderliğinde, haydutlar takımı eylemlerini güney topraklarına kadar hızlıca taşıdılar. Kurnazlığı, azimli tavırları, insan üstü bir huzur ve gaddarlıkla kullandığı merhametsiz hırsıyla birleşince onu takip eden büyük bir kitle oluşuyor. Tıpkı yaşadığı ahlaksız ve şımarık hayat gibi -- yolculukları boyunca yaptığı şiddetli yağmalar üzerine kurulu bir hayat sürdürüyor. Askeri gücü ve strateji aklı, onun varlığını kendi topraklarında baş edilemez kılıyor ve şimdi de gözlerini savaş ordusunu ayakta tutmak için Kalradya'nın zengin topraklarına dikmiş.
str_quick_battle_troop_3|Uxkhal'da yakınlarında yaşayan ufak bir soylunun ikinci oğlu Hegen, tekli dövüş ve savaş sanatı üzerine eğitildi. Bir şovalye olduktan sonra, Uxkhal lordu'nun ordusunda paralı şovalye olarak çalıştı ve Amere yakınlarındaki bir Kergit ordusunu bozguna uğratan bir atlı takıma liderlik ettiği zamanlardan önce Veagirlilere karşı savaştı. Yaptığı karşı saldırıdan ve iki seferden sonra bir savaşçı olarak nam ve şöhret yaptı. Fakat ne yazık ki, barış ilan edildiğinde görevden alındı ve şanını ilerletme fırsatı bulamadı. Herhangi bir miras umudu olmadan ve savaştaki yetenekleri barış ile durgunlaştı. Diğer genç savaşçıları topladı ve bir kiralık asker lideri oldu. Şimdilerdeyse, Kalradya'nın asla eksikliğini çekmeyeceği savaşan ülkelerin kiralık asker ihtiyacı gerçeğini kendi lehine kullanmayı umuyor.
str_quick_battle_troop_4|Konrad, dipsiz batı okyanuslarının ötesinde yer alan uzak diyarlardaki Balion'dan gelen usta bir kiralık asker. Sayısız sefer ve savaş görerek geçen yaşamıyla, Konrad hayatını macera peşinde koşan bir asker olarak yapmaktan zevk alarak yaşlandı. Bir keresinde burnunu koparan bir gürz darbesi ve aldığı sayısız yaralara rağmen pazularının kuvveti, doğuştan gelme kurnazlığı ve şansı ile yaşamaya devam etti. Kalradya'da onu bekleyen kârlı kariyer fırsatlarını duyduğunda, Konrad bir gemi kiralayıp, adamlarıyla beraber savaşacak yeni harbler umuduyla denizler aşar. Herhangi bir Kalradya devletine bağlılığı olmayan satılık bir kılıç olmak, bir torba dolusu altın vermeye hazır bir lorda bağlılıktan daha iyiydi onun için.
str_quick_battle_troop_5|Sverre sözde deniz yağmacılarından biri -- Nordların atalarına ait olduğu söylenen Kuzey denizinin ötesindeki Jumne topraklarından gelen korsanlar ve kanunsuz adamlar. Şimdiden, genç bir adam olarak  Werched bölgesi ve Vaegir topraklarındaki kuzenlerine karşı bir çok yağmada bulundu. Fakat, Sverre her zaman zeki bir adamdı ve Kalradya'nın kendi ülkelerinden daha verimli olduğunu ve orada daha iyi bir hayat yaşayabileceğini fark etmesi uzun sürmedi. Jayek yağması sırasında Sverre, komutanları yağma ve esirlerle meşgulken aralarından kaçıverdi. Chalbek dağlarından bir hödük olarak devam eden hayatını geçmişte bırakarak, Sverre sert bir savaşçı olarak hemencecik ün saldı ve şimdi de yolunu bir kiralık asker lideri olarak arıyor.
str_quick_battle_troop_6|Vaegir tundralarının uzaklarından, Charnye'den gelen bir avcıdır Borislav. Bütün yaşamı boyunca, sonu gelmeyen savaşlardan önceki dedelerinin mutlulukla yaptığı gibi, postları ve etleri için vahşi yaratıkları avladı. Şimdiyse oyun, susmak bilmeyen savaş naraları ve henüz yakılmamış olan ormanlardaki hayvanların askerler tarafından sebebsizce katledilmesinden ürkmüş bir şekilde hızlıca yön değiştirir. Açlıkla karşı karşıya kalan Borislav, yeteneklerini yay ve mızrakla birleştirmeye karar verir. Av sopasını kurtlar ve ayılar üzerinde kullandığı zamanlar, artık insan avı için pratik yapma konumuna gelmişti. Sabit ve keskin bakışları onlarca cana meydan okumuştu. Borislav, krallıkların münakaşalarını pek takmaz ve sadece kendisini hayatta tutmak ve adamlarını doyurabilmeyi umursar.
str_quick_battle_troop_7|Stavros, Zendar'da dünyaya geldi ve hayatının büyük bir kısmını, meşhur muhafız başı Hareck'in komutası altındaki bir muhafız olarak geçirdi. Stavros'un liderlik yeteneği ve cesaretiyle, korkulu nehir korsanlarının korkusu olmuştur. Fakat o bile Zendarın başına gelen felaketi engelleyememiştir. Zendar büyük bir korsan güruhu tarafından yerle bir edilince, Stavros yanan şehirden şaşkına uğramış kalabalık ile kaçar. Basit işler yapıp avare gibi dolaştığı bir dönemden sonra, kiralık asker grubunda bir yer bulur, taktik yeteneği ve becerileriyle yavaş yavaş liderliğe yükselir. Şimdileriyle çoğunlukla insan avcılarıyla ve deniz yağmacılarına karşı olan yerel yönetimlerle birlikte çalışıp, toprakları yolcular için güvenli bir hale getirmeye uğraşıyor.
str_quick_battle_troop_8|Sarranid diyarları boyunca uzanan çölün derinlerindeki göçebe bir kabilede büyüyen Gamara, genç yaşta sapan ve mızrak ile avlanmayı öğrenir. Fakat, çöledeki basit hayat ve sert şartlar onu tatmin etmez, ve hakkında onlarca acayip hikayeler duyduğu o kocaman dünyayı görmek için yanıp tutuşur. Hayat genç bir maceracı kadın için kolay değildir, ve Gamara Kalradya'da işlerin nasıl işlediğini çabucak öğrenmek zorundadır. Onunla münakaşaya giren bir askerin silahlarını ve zırhını alarak, Gamara güzelliğini kalın Sarranid kılığının altında saklar. Kimseler onun kadın olduğundan şüphelenmez - savaş alanındaki bir güç olarak, herhangi bir erkek kadar tehlikelidir aslında. Kendi yandaşlarını toplar ve birlikte savaş dolu diyarlarda şöhret arayışına girer.
str_quick_battle_troop_9|Aethrod soylu bir kişi değildir.Adını iki kere değiştirmiş ve Vaegir topraklarındaki bir çok suçun sorumlusu olarak gözükmektedir.Doğru yada değil, iddia ettiğine göre şimdiye kadar masum kimsenin canını almamıştır ve kendini vatansever bir vatandaş olarak görmekte ve birden çok durumda adamlarını tehdit altındaki krallığın hizmetine sunmuştur.Fakat barış hüküm sürdüğünde tehditkar kişiliği tezcanlı hareketleriyle bir çok lord onun yakınında dikkatli davranmalıdır.Reyvadin in varoşlarında doğup büyümüş, genç yaşta yay kullanmayı öğrenmiş ve ondört yaşında evinden kaçmıştır.Şimdi otuziki yaşında, yay becerisi neredeyse mukemmeldir, at sürüşü için aynı şey söylenemesede attığını gözünden vurur.Çivi gibi sert şahin gibi keskin, tam bir yerel efsanedir. 
str_quick_battle_troop_10|Sarranid krallığındaki en azılı haydutun kızı olmak zor olsada , görünüşe göre Zaira başının çaresine oldukça iyi bakmış.Birçok kadının aksine bir çöl savaşcısı gibi büyüyen Zaira kılıç ve yay kullanmakta ölümcül bir beceriye sahiptir.Aynı yaştaki diğer kızlar ev idare etmeyi öğrenirken Zaira tüccarları hızlıca öldürüp para keselerini almayı öğrendi.Onaltı yaşına geldiğinde Zaira Sultan'ın ordusundaki deneyimli bir askerden daha çok adam öldürmüştü.Tam yirminci doğum gününden önce babası başka bir haydut lideri ile savaşırken öldürüldü.Tek çocuk olduğu için Zaira babasının çetesini devraldı.Babasının intikamını aldıktan sonra,babasının kaldığı yerden devam ederek bir  haydut lideri olarak kendi ününü arttırıyor.  
str_quick_battle_troop_11|Argo Sendnar ' ın değişik bir hayatı vardı.Kalradya ya geldiğinde tüccar olarak çalışıp Lokti' de kazandığından daha fazla bir para kazanmayı umuyordu.Bilmiyorduki savaş içindeki Kalradya haydutlar ve çapulcularla dolup taşmış bir arı kovanı gibiydi ve ticaret Lokti dekinden çok daha zordu.Başka bir tüccardan kazık yedikten ,bütün parasını ve mallarını yağmacılara kaptırdıktan sonra başka kervanlarda muhafız olarak çalışarak hayatını kazanmaya çalıştı.Dövüş kabiliyeti çok kötü olmasına rağmen  bir süre sonra tehlikeli kervan yollarında iş buldu.Tamamen şans sayesinde  hayatta kalmayı becerdi, bu zorllu süreçte edindiği dövüş deneyimi ve para ile kervan başı oldu , kendisine malları koruma talebiyle gelen kervanlarla anlaşmaya başladı.  
str_tutorial_training_ground_intro_message|Talim alanında gez ve eğitmenlerle konuşarak Mount&Blade 'in çeşitli dövüş tekniklerini öğren.ASDW tuşları ile etrafta gezinebilirsiniz.Bir karakterle konuşmak için ,ismi ekranda belirene kadar yaklaşıp F tuşuna basın.Ayrica F tuşu ile silahları yerden alıp, kapıları açabilir yada eşyaları kullanbilirsiniz.İstediğiniz zaman TAB tuşu ile talim alanından çıkabilirsiniz.   
str_map_basic|Harita
str_game_type_basic|Oyun Tipi
str_battle|Savaş
str_siege_offense|Kuşatma Saldırısı
str_siege_defense|Kuşatma Savunması
str_character|Karakter
str_biography|Özgeçmiş
str_player|Oyuncu
str_enemy|Düşman
str_faction|Grup
str_army_composition|Ordu Düzeni
str_army_size|Ordu Büyüklüğü
str_reg0_men|{reg0} kişi
str_start|Başla
str_i_need_to_raise_some_men_before_attempting_anything_else|Başka bir şeye kalkışmadan önce biraz adam toplamalıyım
str_we_are_currently_at_peace|şu anda barış halindeyiz
str_the_marshalship|mareşallik
str_you|sen
str_myself|kendim
str_my_friend_s15|dostum {s15}
str_custom_battle|Özel Savaş
str_comment_intro_liege_affiliated_to_player|Duyduğuma göre benim Kalradya tacını hakettiğimden şüphe duyuyormuşsun. Söylemeye bile gerek yok, bu haber hoşuma gitmedi. Ancak yine de konuşabiliriz.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} {s8} kişisel husumetten savaş ilan etti
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} {s8} sınır ihlalinden dolayı savaş ilan etti
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} {s8} diğer krallıkları zayıflatmak için savaş ilan etti
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} {s8} kaybedilen toprakları geri kazanmak adına savaş ilan etti
str__family_|^Aile:
str_we_are_conducting_recce|Öncelikle alanı kolaçan edip, daha sonra ne yapacağımıza karar veririz.
str__family_|^Aile:
str_s49_s12_s11_end|{s49} {s12} ({s11}{.si}).
str_center_party_not_active|bizim hedefimiz değil, çünkü alana sahip bir liderimiz yok.
str_center_is_friendly|bizim düşmanımız değil.
str_center_is_already_besieged|zaten kuşatma altında.
str_center_is_looted_or_raided_already|çoktan talan edildi.
str_center_marshal_does_not_want_to_attack_innocents|,saldırı durumunda en çok zarar görecek olan, yerel halkın ikametinde.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|zaten saldırı altında, bu yüzden burayı terk etmek bir hata olur.
str_center_we_are_already_here_we_should_at_least_loot_the_village|ele geçirilmek üzere, erzaklarına el koyup dinlenmeye geçebiliriz.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|KULLANILMIYOR
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|keşif için bile çok uzakta.
