dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_b|Hayır, önce kızı serbest bırakın!
dlga_bandits_awaiting_ransom_b:bandits_awaiting_ransom_b2|Seni budala! Oyun oynamayı bırak ve parayı ver!
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_pay|Pekala, paranız burada, şimdi kızı bırakın!
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_no_money|Parayı güvenli bir yerde bıraktım, gidip getireyim.
dlga_bandits_awaiting_ransom_no_money:close_window|Sabrımızı falan mı sınıyorsun sen!! Git ve parayı getir çabuk!!
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_fight|Size para ödemek gibi bir niyetim yok, kızı bırakmanızı emrediyorum size!
dlga_bandits_awaiting_ransom_fight:close_window|Geberdiğin zaman bir şey emredemeyeceksin ama!!
dlga_start:bandits_awaiting_remeet|Ne var? Parayı verdin işte. Bir işimiz kalmadı.
dlga_bandits_awaiting_remeet:close_window|Rahatsız ettiğim için üzgünüm. Ben yoluma devam edeceğim şimdi.
dlga_bandits_awaiting_remeet:bandits_awaiting_remeet_2|Bir işimiz daha var, o parayı bana geri vereceksiniz!
dlga_bandits_awaiting_remeet_2:close_window|Ah, öyle demek ki. O zaman buyur bakalım, haydi!
dlga_start:kidnapped_girl_encounter_1|Ah {beyim/hanımım}. Beni kurtardığınız için size çok teşekkür ederim. Şimdi beni ailemin yanına mı götüreceksiniz?
dlga_kidnapped_girl_encounter_1:kidnapped_girl_join|Evet, gel benimle, seni eve götüreceğim.
dlga_kidnapped_girl_join:close_window|Malesef birliğinde benim için yerin yok.
dlga_kidnapped_girl_join:close_window.1|Ah çok teşekkür ederim!
dlga_kidnapped_girl_encounter_1:kidnapped_girl_wait|Burada biraz daha bekle, senin için geleceğim.
dlga_kidnapped_girl_wait:close_window|Ah, lütfen {beyim/hanımım}, beni buralarda bir başıma bırakmayın!
dlga_merchant_quest_about_job_2:lost_kidnapped_girl|Malesef kızı buraya gelirken kaybettim.
dlga_lost_kidnapped_girl:lost_kidnapped_girl_2|Olamaz! Bunu arkadaşıma nasıl söylerim?!
dlga_lost_kidnapped_girl_2:lost_kidnapped_girl_3|Üzgünüm. Yapabileceğim hiçbir şey yoktu.
dlga_lost_kidnapped_girl_3:lost_kidnapped_girl_4|Beni, hayal kırıklığına uğrattın {playername}. Sana güvenmiştim. İnsanların senin bu görevdeki beceriksizliğini duyacaklar, emin ol. Sana başta fidye olarak verdiğim {reg8} dinarı da geri istiyorum.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5a|Tabii ki, buyrun.
dlga_merchant_quest_about_job_5a:close_window|En azından parayı geri getirecek kadar düzgün birisin.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5b|Üzgünüm, yanımda o kadar para yok.
dlga_merchant_quest_about_job_5b:close_window|Buna inanmamı mı bekliyorsun? Bana o parayı ödeyeceksin! Git ve parayı getir!
dlga_merchant_quest_requested:merchant_quest_persuade_peace_1|{s15} ile {s14} arasındaki savaş kasabamızı yıkımın eşiğine getirdi. Kervanlarımız gideceği yere varamadan yağmalanıyor. Tüccarlarımız şehirlerin surları dışına çıkmaya korkuyorlar ve bir de bütün bunlar yetmezmiş gibi savaşa devam edebilme adına toplanan vergiler elde avuçta ne varsa hepsini kurutuyor. Yakında barış olmazsa bizler dayanamayacağız.
dlga_merchant_quest_persuade_peace_1:merchant_quest_brief|Haklısın, peki bu savaş denen çılgınlığı kim durdurabilir ki?
dlga_merchant_quest_persuade_peace_1:merchant_quest_persuade_peace_reject|Senin vazifen soyluları savaş sırasında desteklemektir. Şikayet etmemelisin.
dlga_merchant_quest_persuade_peace_reject:close_window|Hah. Soylular sadece kendi hırsları ve ihtişam rüyaları yüzünden savaşırlar. Ancak bizim gibi fakir dürüst halk asıl yükün hepsini sırtlarında taşır. Gerçi belli ki siz bunları duymak istemiyorsunuz.
dlga_merchant_quest_brief:merchant_quest_persuade_peace_3|İki tarafı bir araya getirip barış görüşmelerine başlanması için girişimler olmuş. Lakin iki tarafta da savaşı devam ettirmeyi çıkar edinmiş güçlü lordlar var. Bu lordlar diğer lordları, aklıbaşında insanları dinlemek yerine savaşa devam etmeleri konusunda telkin ediyorlar. Bu lordların etkileri sürdükçe de bir barış ortamının gelmesi mümkün değil.
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4|Bu bahsettiğin savaş kışkırtıcıları kim?
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4.1|Bu bahsettiğin lordlar kim?
dlga_merchant_quest_persuade_peace_4:merchant_quest_persuade_peace_5|Bunlar {s15} tarafından {s12} ve {s14} tarafından {s13}. Fikirlerini değiştirinceye veya nüfuzlarını kaybedinceye kadar iki taraf arasında barış diye bir şey olmayacak.
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6|Bununla ilgili ne yapılabilir peki?
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6.1|Ne yazik ki bu konuyla ilgili yapılabilecek hiçbir şey yok.
dlga_merchant_quest_persuade_peace_6:merchant_quest_persuade_peace_7|Sorunu çözmek için bir yol olabilir. Kararlı biri gidip lordların biriyle, hatta ikisiyle birden görüşüp onları barışa ikna etmeyi deneyebilir. Bu yöntem başarısız olsa bile bir şekilde bu lordlara karşı güç kullanarak mevkilerinden indirilip tutsak alınmaları denenebilir. Esaretleri durumunda diğer soylular arasında nüfuzlarını kaybedecekleri için diğer lordlar herhangi bir anlaşmaya karşı çıkmaz... Ne düşünüyorsun? Bunu yapabilir misin?
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8|Zor görünüyor. Ama yine de deneyeceğim.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.1|Ücret uygunsa, olabilir.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.2|Unut bunu, zaten benim problemim değil.
dlga_merchant_quest_persuade_peace_8:merchant_quest_persuade_peace_9|Şehirdeki tüccarların çoğu böyle bir plan için kesenin ağzını açacaklardır. Sanırım {reg12} dinarı kendi aramızda toplayabiliriz. Ve eğer bu işi becerebilirsen bu meblayı sana seve seve öderiz. {s12} ve {s13} bir barış anlaşmasına ikna olmalılar, eğer içlerinden biri inatçılık ederse, onu esir al ve anlaşma sağlanana kadar da bırakılmayacağın emin ol.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_10|Pekala, elimden gelenin en iyisini yapacağım.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_no|Üzgünüm, bunu yapamam.
dlga_merchant_quest_persuade_peace_10:close_window|Harika! Umarım bu iki inatçı keçiyle baş edebilirsin! İyi haberlerini bekliyoruz.
dlga_merchant_quest_persuade_peace_no:close_window|Hemen hayır deme. Önce biraz düşün. Eğer bunu becerebilecek bir {adam/kadın} varsa, o da sensin.
dlga_merchant_quest_requested:merchant_quest_deal_with_night_bandits|Kasabaya musallat olmuş bir haydut grubu var ve artık canımıza tak etti. Gecenin karanlığından faydalanarak insanlarımızı pusuya düşürüp mallarını soyuyorlar, nöbetçiler daha olaya yetişemeden de geldikleri gibi ortadan kayboluyorlar. Henüz bir tanesini bile yakalayamadık. Sadece yalnız başına dolaşanlara saldırıyorlar, kalabalık bir grup olduğu zaman kendilerini göstermeye cesaret edemiyorlar. Şimdi tek başına bu haydutları kendine çekip, işlerini bitirebilecek birine ihtiyacım var. Adaleti yerine getirmenin tek yolu buymuş gibi görünüyor. Bu işi becerebilir misin?
dlga_merchant_quest_brief:merchant_quest_deal_with_night_bandits|Kasabaya musallat olmuş bir haydut grubu var ve artık canımıza tak etti. Gecenin karanlığından faydalanarak insanlarımızı pusuya düşürüp mallarını soyuyorlar, nöbetçiler daha olaya yetişemeden de geldikleri gibi ortadan kayboluyorlar. Henüz bir tanesini bile yakalayamadık. Sadece yalnız başına dolaşanlara saldırıyorlar, kalabalık bir grup olduğu zaman kendilerini göstermeye cesaret edemiyorlar. Şimdi tek başına bu haydutları kendine çekip, işlerini bitirebilecek birine ihtiyacım var. Adaleti yerine getirmenin tek yolu buymuş gibi görünüyor. Bu işi becerebilir misin?
dlga_merchant_quest_deal_with_night_bandits:deal_with_night_bandits_quest_taken|Haydutları öldürmek mi? Neden olmasın!
dlga_merchant_quest_deal_with_night_bandits:merchant_quest_stall|Üzgünüm, ilgilenmiyorum.
dlga_deal_with_night_bandits_quest_taken:mayor_pretalk|Omuzlarımdan büyük bir yük kalktı, {playername}. Eğer başarıyla dönebilirsen ödülün de büyük olacak. Kendini öldürtme sakın.
dlga_merchant_quest_requested:merchant_quest_brief.6|Tüccarlarımdan biri sığırlarını {s13} bölgesindeki pazara götürebilecek birini arıyor.
dlga_merchant_quest_brief:move_cattle_herd_quest_brief|Sürü 30 gün içinde {s13} pazarına varmış olmalı. Ne kadar çabuk o kadar iyi, çok daha iyi, ama kesinlikle 30 gün sonrasına kalmamalı. Eğer bu işi yaparsan, sana {reg8} dinar ödemeye hazırım. İlgilenir misin?
dlga_move_cattle_herd_quest_brief:move_cattle_herd_quest_taken|Tamamdır, sürüyü {s13} pazarına götürebilirim.
dlga_move_cattle_herd_quest_brief:merchant_quest_stall|Üzgünüm, ama olmaz.
dlga_move_cattle_herd_quest_taken:mayor_pretalk|Harika! Sürü hemen kasaba dışında. Sürüyü {s13} pazarına teslim ettikten sonra buraya dön ki ben de sana paranı ödeyeyim.
dlga_merchant_quest_requested:mayor_pretalk|Korkarım şu anda sana verebileceğim bir iş yok.
dlga_start:village_elder_deliver_cattle_thank|{Beyim/Hanımım}, köyümüz yardımlarınız için sizlere müteşekkir. {reg5} kelle sığır kendi sürümüzü yetiştirmemiz için bize yeterli olacak! 
dlga_village_elder_deliver_cattle_thank:village_elder_talk|Saygıdeğer {lordum/leydim}, sizin için yapabileceğim herhangi birşey var mı?
dlga_start:village_elder_talk|İyi günler, {beyim/hanımım}, {s9} köyüne hoşgeldiniz! Ben bu köyün ileri gelenlerindenim.
dlga_start:village_elder_talk.1|{s9} köyüne hoşgeldiniz, {lordum/hanımım}. Köyümüzün yeni {sahibi/sahibesi} olduğunuz haberleri köyümüzde bir bayram havası yarattı. Ben bu köyün ileri gelenlerindenim ve size elimden geldiğince faydalı olabilmek benim için bir şeref olacaktır.
dlga_start:village_elder_talk.2|{Lordum/Hanımım}, varlığınızla küçük köyümüzü onurlandırıyorsunuz.
dlga_start:village_elder_talk.3|İyi günler, {beyim/hanımım}.
dlga_village_elder_pretalk:village_elder_talk|Sizin için yapabileceğim birşey var mı?
dlga_village_elder_talk:village_elder_ask_fugitive|{s4} adında bir adamı arıyorum. Bana onun buralarda saklanıyor olabileceği söylendi.
dlga_village_elder_ask_fugitive:village_elder_pretalk|Yabancılar sıkça köyümüze gelip giderler, {beyim/hanımım}. Ama gecenin bu saatinde kimseyle karşılaşacağınızı sanmam. Gündüz vakti bu işte daha şanslı olabilirsiniz.
dlga_village_elder_ask_fugitive:close_window|Yabancılar sıkça köyümüze gelip giderler, {beyim/hanımım}. Dediğiniz adam gerçekten de buralarda saklanıyorsa biraz etrafa bakınarak onu bulabilirsiniz.
dlga_village_elder_talk:village_elder_active_mission_1|Benden istediğiniz o iş hakkında...
dlga_village_elder_talk:village_elder_request_mission_ask|Yardımcı olabileceğim herhangi bir işiniz var mı?
dlga_village_elder_talk:village_elder_trade_begin|Bir miktar mal takviyesi yapmam gerekiyor. Ödemeyi altınla yapacağım.
dlga_village_elder_trade_begin:village_elder_trade_talk|Tabii ki, {efendim/hanımım}. Erzak mı, sığır mı alacaksınız?
dlga_village_elder_trade_talk:village_elder_trade|Biraz erzak ve yiyecek alacağım.
dlga_village_elder_trade:village_elder_pretalk|Depomuzda yiyecekler ve muhtelif erzak var. Buyrun, bir göz atın.
dlga_village_elder_trade_talk:village_elder_buy_cattle|Bir miktar sığır almam gerek.
dlga_village_elder_trade_talk:village_elder_pretalk|Fikrimi değiştirdim. Hiçbirşey almayacağım.
dlga_village_elder_talk:village_elder_ask_enemies|Son zamanlarda bu civarlarda hiç düşman birlikleri gördünüz mü?
dlga_village_elder_ask_enemies:village_elder_pretalk|Kusura bakmayın, {beyim/hanımım}. Yakınlarda bir ordu ne gördük ne de işittik.
dlga_village_elder_ask_enemies:village_elder_tell_enemies|Hımm... biraz düşüneyim...
dlga_village_elder_tell_enemies:village_elder_tell_enemies|{s1} {s2}
dlga_village_elder_tell_enemies:village_elder_pretalk|Hayır, {beyim/hanımım}. Bir süredir bu civarlarda hiç düşman birliğine rastlamadık.
dlga_village_elder_tell_enemies:village_elder_pretalk.1|Pekala, sanırım hepsi bu kadar.
dlga_village_elder_talk:village_elder_ask_set_fire|Bu köyün çevresinde büyük bir yangın çıkarmanı istiyorum.
dlga_village_elder_ask_set_fire:close_window|Bunu konuyu zaten konuştuk, {beyim/hanımım}. Elimden gelenin en iyisini yapacağım. Bana güvenebilirsiniz.
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_1|Yangın mı dediniz {beyim/hanımım}? Yangınlar tehlikelidir. Neden böyle birşey isteyesiniz ki?
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_5|Bu konuyu zaten konuştuğumuza inanıyorum, {beyim/hanımım}.
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_5.1|Bunu önceden konuştuk {beyim/hanımım}, ve önceki teklifleriniz almamı istediğiniz riskten daha düşüktü.
dlga_village_elder_ask_set_fire_1:village_elder_ask_set_fire_2|Benim kendi sebeplerim var, senin de kendi sebeplerin var – bir kese gümüş. Yapacak mısın, yapmayacak mısın?
dlga_village_elder_ask_set_fire_1:village_elder_ask_set_fire_explain_plan|Aldığın riskten ötürü, planımı öğrenmeye hakkın var.
dlga_village_elder_ask_set_fire_explain_plan:village_elder_ask_set_fire_2|{s4} içinden bir tutsak kurtarmam gerek. Sen ateşi verdiğinde, {s4} muhafızları dumanı görecek, ve bir kaçı neler olup bittiğini anlamak için dışarı fırlayacak.
dlga_village_elder_ask_set_fire_2:village_elder_ask_set_fire_9|Nasıl isterseniz, {beyim/hanımım}. Bu köye iyi bir dost oldunuz, her ne kadar riskli de olsa, size yardım etmeye hazırız. Bu yangının ne zaman çıkmasını istiyorsunuz?
dlga_village_elder_ask_set_fire_2:close_window|Üzgünüm, {beyim/hanımım}. Bunu söylediğim için beni affedin fakat, size güvenmemiz için doğru düzgün bir sebebimiz bile yok. Bu çok tehlikeli.
dlga_village_elder_ask_set_fire_2:village_elder_ask_set_fire_3|Nasıl isterseniz, {beyim/hanımım}. Fakat bunu yapmakla çok büyük bir risk alıyoruz. Bu işten kârımız ne olacak?
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_4|Sana 100 dinar verebilirim.
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_6|Sana 200 dinar verebilirim.
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_6.1|Sana 300 dinar verebilirim.
dlga_village_elder_ask_set_fire_3:close_window|Boşver.
dlga_village_elder_ask_set_fire_4:village_elder_talk|Bu delilik. Böyle bir riski alamam.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_7|O halde ödülünü 200 dinara çıkartalım.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_6|O halde ödülünü 300 dinara çıkartalım.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_6.1|O halde ödülünü 300 dinara çıkartalım. Bu son teklifim.
dlga_village_elder_ask_set_fire_5:close_window|Boşver.
dlga_village_elder_ask_set_fire_6:village_elder_ask_set_fire_9|Pekala. Benden çok büyük bir risk almamı istiyorsun, fakat yapacağım. Yangının ne zaman çıkmasını istiyorsun?
dlga_village_elder_ask_set_fire_7:village_elder_talk|Böylesine tehlikeli birşeyi 200 dinar için yapacak değilim.
dlga_village_elder_ask_set_fire_9:village_elder_ask_set_fire_10|Hazırlıklarınıza devam edin. Bir saat sonra, o ateşe ihtiyacım olacak.
dlga_village_elder_ask_set_fire_9:village_elder_ask_set_fire_11|Bunu gece yarısı yapın. Bir saat bekleyeceğim.
dlga_village_elder_ask_set_fire_10:close_window|Pekala {beyim/hanımım}. Hazırlıklarımızı yapacağız. Siz de yapın.
dlga_village_elder_ask_set_fire_11:close_window|Nasıl isterseniz, {beyim/hanımım}. Tanrı sizi korusun.
dlga_village_elder_talk:village_elder_recruit_start|Bu köyde şansını savaş alanlarında denemeyi isteyen gençler var mı?
dlga_village_elder_talk:close_window|[Ayrıl]
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2|Tanesi {reg6} dinardan {reg5} baş sığırımız var. Size kaç tane gerekiyor?
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2.1|Korkarım ki köyümüzde hiç sığır kalmadı {beyim/hanımım}.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete|Bir.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.1|İki.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.2|Üç.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.3|Dört.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.4|Beş.
dlga_village_elder_buy_cattle_2:village_elder_pretalk|Unut gitsin.
dlga_village_elder_buy_cattle_complete:village_elder_pretalk|Çobanların toparlanıp sürüyü size doğru sürmelerini söyleyeceğim, {beyim/hanımım}. Eminim alışverişinizden memnun kalacaksınız.
